Month,Day,Period,Profile
1,1,1,8.90E-05
1,1,2,7.83E-05
1,1,3,7.75E-05
1,1,4,7.83E-05
1,1,5,8.28E-05
1,1,6,0.000120689
1,1,7,0.000271433
1,1,8,0.000394092
1,1,9,0.00036179
1,1,10,0.000299609
1,1,11,0.000268662
1,1,12,0.000255494
1,1,13,0.000263471
1,1,14,0.000271411
1,1,15,0.000280489
1,1,16,0.000310185
1,1,17,0.000380133
1,1,18,0.000418994
1,1,19,0.000414289
1,1,20,0.000398311
1,1,21,0.000367484
1,1,22,0.0003152
1,1,23,0.000219899
1,1,24,0.000127794
1,2,1,8.90E-05
1,2,2,7.83E-05
1,2,3,7.75E-05
1,2,4,7.83E-05
1,2,5,8.28E-05
1,2,6,0.000120689
1,2,7,0.000271433
1,2,8,0.000394092
1,2,9,0.00036179
1,2,10,0.000299609
1,2,11,0.000268662
1,2,12,0.000255494
1,2,13,0.000263471
1,2,14,0.000271411
1,2,15,0.000280489
1,2,16,0.000310185
1,2,17,0.000380133
1,2,18,0.000418994
1,2,19,0.000414289
1,2,20,0.000398311
1,2,21,0.000367484
1,2,22,0.0003152
1,2,23,0.000219899
1,2,24,0.000127794
1,3,1,8.90E-05
1,3,2,7.83E-05
1,3,3,7.75E-05
1,3,4,7.83E-05
1,3,5,8.28E-05
1,3,6,0.000120689
1,3,7,0.000271433
1,3,8,0.000394092
1,3,9,0.00036179
1,3,10,0.000299609
1,3,11,0.000268662
1,3,12,0.000255494
1,3,13,0.000263471
1,3,14,0.000271411
1,3,15,0.000280489
1,3,16,0.000310185
1,3,17,0.000380133
1,3,18,0.000418994
1,3,19,0.000414289
1,3,20,0.000398311
1,3,21,0.000367484
1,3,22,0.0003152
1,3,23,0.000219899
1,3,24,0.000127794
1,4,1,8.90E-05
1,4,2,7.83E-05
1,4,3,7.75E-05
1,4,4,7.83E-05
1,4,5,8.28E-05
1,4,6,0.000120689
1,4,7,0.000271433
1,4,8,0.000394092
1,4,9,0.00036179
1,4,10,0.000299609
1,4,11,0.000268662
1,4,12,0.000255494
1,4,13,0.000263471
1,4,14,0.000271411
1,4,15,0.000280489
1,4,16,0.000310185
1,4,17,0.000380133
1,4,18,0.000418994
1,4,19,0.000414289
1,4,20,0.000398311
1,4,21,0.000367484
1,4,22,0.0003152
1,4,23,0.000219899
1,4,24,0.000127794
1,5,1,8.90E-05
1,5,2,7.83E-05
1,5,3,7.75E-05
1,5,4,7.83E-05
1,5,5,8.28E-05
1,5,6,0.000120689
1,5,7,0.000271433
1,5,8,0.000394092
1,5,9,0.00036179
1,5,10,0.000299609
1,5,11,0.000268662
1,5,12,0.000255494
1,5,13,0.000263471
1,5,14,0.000271411
1,5,15,0.000280489
1,5,16,0.000310185
1,5,17,0.000380133
1,5,18,0.000418994
1,5,19,0.000414289
1,5,20,0.000398311
1,5,21,0.000367484
1,5,22,0.0003152
1,5,23,0.000219899
1,5,24,0.000127794
1,6,1,8.90E-05
1,6,2,7.83E-05
1,6,3,7.75E-05
1,6,4,7.83E-05
1,6,5,8.28E-05
1,6,6,0.000120689
1,6,7,0.000271433
1,6,8,0.000394092
1,6,9,0.00036179
1,6,10,0.000299609
1,6,11,0.000268662
1,6,12,0.000255494
1,6,13,0.000263471
1,6,14,0.000271411
1,6,15,0.000280489
1,6,16,0.000310185
1,6,17,0.000380133
1,6,18,0.000418994
1,6,19,0.000414289
1,6,20,0.000398311
1,6,21,0.000367484
1,6,22,0.0003152
1,6,23,0.000219899
1,6,24,0.000127794
1,7,1,8.90E-05
1,7,2,7.83E-05
1,7,3,7.75E-05
1,7,4,7.83E-05
1,7,5,8.28E-05
1,7,6,0.000120689
1,7,7,0.000271433
1,7,8,0.000394092
1,7,9,0.00036179
1,7,10,0.000299609
1,7,11,0.000268662
1,7,12,0.000255494
1,7,13,0.000263471
1,7,14,0.000271411
1,7,15,0.000280489
1,7,16,0.000310185
1,7,17,0.000380133
1,7,18,0.000418994
1,7,19,0.000414289
1,7,20,0.000398311
1,7,21,0.000367484
1,7,22,0.0003152
1,7,23,0.000219899
1,7,24,0.000127794
1,8,1,8.90E-05
1,8,2,7.83E-05
1,8,3,7.75E-05
1,8,4,7.83E-05
1,8,5,8.28E-05
1,8,6,0.000120689
1,8,7,0.000271433
1,8,8,0.000394092
1,8,9,0.00036179
1,8,10,0.000299609
1,8,11,0.000268662
1,8,12,0.000255494
1,8,13,0.000263471
1,8,14,0.000271411
1,8,15,0.000280489
1,8,16,0.000310185
1,8,17,0.000380133
1,8,18,0.000418994
1,8,19,0.000414289
1,8,20,0.000398311
1,8,21,0.000367484
1,8,22,0.0003152
1,8,23,0.000219899
1,8,24,0.000127794
1,9,1,8.90E-05
1,9,2,7.83E-05
1,9,3,7.75E-05
1,9,4,7.83E-05
1,9,5,8.28E-05
1,9,6,0.000120689
1,9,7,0.000271433
1,9,8,0.000394092
1,9,9,0.00036179
1,9,10,0.000299609
1,9,11,0.000268662
1,9,12,0.000255494
1,9,13,0.000263471
1,9,14,0.000271411
1,9,15,0.000280489
1,9,16,0.000310185
1,9,17,0.000380133
1,9,18,0.000418994
1,9,19,0.000414289
1,9,20,0.000398311
1,9,21,0.000367484
1,9,22,0.0003152
1,9,23,0.000219899
1,9,24,0.000127794
1,10,1,8.90E-05
1,10,2,7.83E-05
1,10,3,7.75E-05
1,10,4,7.83E-05
1,10,5,8.28E-05
1,10,6,0.000120689
1,10,7,0.000271433
1,10,8,0.000394092
1,10,9,0.00036179
1,10,10,0.000299609
1,10,11,0.000268662
1,10,12,0.000255494
1,10,13,0.000263471
1,10,14,0.000271411
1,10,15,0.000280489
1,10,16,0.000310185
1,10,17,0.000380133
1,10,18,0.000418994
1,10,19,0.000414289
1,10,20,0.000398311
1,10,21,0.000367484
1,10,22,0.0003152
1,10,23,0.000219899
1,10,24,0.000127794
1,11,1,8.90E-05
1,11,2,7.83E-05
1,11,3,7.75E-05
1,11,4,7.83E-05
1,11,5,8.28E-05
1,11,6,0.000120689
1,11,7,0.000271433
1,11,8,0.000394092
1,11,9,0.00036179
1,11,10,0.000299609
1,11,11,0.000268662
1,11,12,0.000255494
1,11,13,0.000263471
1,11,14,0.000271411
1,11,15,0.000280489
1,11,16,0.000310185
1,11,17,0.000380133
1,11,18,0.000418994
1,11,19,0.000414289
1,11,20,0.000398311
1,11,21,0.000367484
1,11,22,0.0003152
1,11,23,0.000219899
1,11,24,0.000127794
1,12,1,8.90E-05
1,12,2,7.83E-05
1,12,3,7.75E-05
1,12,4,7.83E-05
1,12,5,8.28E-05
1,12,6,0.000120689
1,12,7,0.000271433
1,12,8,0.000394092
1,12,9,0.00036179
1,12,10,0.000299609
1,12,11,0.000268662
1,12,12,0.000255494
1,12,13,0.000263471
1,12,14,0.000271411
1,12,15,0.000280489
1,12,16,0.000310185
1,12,17,0.000380133
1,12,18,0.000418994
1,12,19,0.000414289
1,12,20,0.000398311
1,12,21,0.000367484
1,12,22,0.0003152
1,12,23,0.000219899
1,12,24,0.000127794
1,13,1,8.90E-05
1,13,2,7.83E-05
1,13,3,7.75E-05
1,13,4,7.83E-05
1,13,5,8.28E-05
1,13,6,0.000120689
1,13,7,0.000271433
1,13,8,0.000394092
1,13,9,0.00036179
1,13,10,0.000299609
1,13,11,0.000268662
1,13,12,0.000255494
1,13,13,0.000263471
1,13,14,0.000271411
