Month,Day,Period,Solar PV
1,1,1,0.00
1,1,2,0.00
1,1,3,0.00
1,1,4,0.00
1,1,5,0.00
1,1,6,0.00
1,1,7,0.00
1,1,8,0.00
1,1,9,3.19
1,1,10,10.81
1,1,11,18.80
1,1,12,25.28
1,1,13,27.51
1,1,14,25.25
1,1,15,22.33
1,1,16,17.16
1,1,17,10.90
1,1,18,3.60
1,1,19,0.00
1,1,20,0.00
1,1,21,0.00
1,1,22,0.00
1,1,23,0.00
1,1,24,0.00
1,2,1,0.00
1,2,2,0.00
1,2,3,0.00
1,2,4,0.00
1,2,5,0.00
1,2,6,0.00
1,2,7,0.00
1,2,8,0.00
1,2,9,18.59
1,2,10,25.51
1,2,11,40.15
1,2,12,41.62
1,2,13,51.63
1,2,14,48.10
1,2,15,43.94
1,2,16,34.40
1,2,17,29.41
1,2,18,13.69
1,2,19,0.00
1,2,20,0.00
1,2,21,0.00
1,2,22,0.00
1,2,23,0.00
1,2,24,0.00
1,3,1,0.00
1,3,2,0.00
1,3,3,0.00
1,3,4,0.00
1,3,5,0.00
1,3,6,0.00
1,3,7,0.00
1,3,8,0.00
1,3,9,28.16
1,3,10,59.63
1,3,11,63.74
1,3,12,63.78
1,3,13,62.88
1,3,14,62.48
1,3,15,63.56
1,3,16,64.54
1,3,17,63.01
1,3,18,39.43
1,3,19,0.00
1,3,20,0.00
1,3,21,0.00
1,3,22,0.00
1,3,23,0.00
1,3,24,0.00
1,4,1,0.00
1,4,2,0.00
1,4,3,0.00
1,4,4,0.00
1,4,5,0.00
1,4,6,0.00
1,4,7,0.00
1,4,8,0.00
1,4,9,25.14
1,4,10,54.63
1,4,11,61.28
1,4,12,60.97
1,4,13,60.00
1,4,14,56.63
1,4,15,55.67
1,4,16,50.84
1,4,17,48.87
1,4,18,26.73
1,4,19,0.00
1,4,20,0.00
1,4,21,0.00
1,4,22,0.00
1,4,23,0.00
1,4,24,0.00
1,5,1,0.00
1,5,2,0.00
1,5,3,0.00
1,5,4,0.00
1,5,5,0.00
1,5,6,0.00
1,5,7,0.00
1,5,8,0.00
1,5,9,21.42
1,5,10,48.10
1,5,11,44.42
1,5,12,47.50
1,5,13,47.35
1,5,14,51.67
1,5,15,51.75
1,5,16,60.34
1,5,17,56.00
1,5,18,30.02
1,5,19,0.00
1,5,20,0.00
1,5,21,0.00
1,5,22,0.00
1,5,23,0.00
1,5,24,0.00
1,6,1,0.00
1,6,2,0.00
1,6,3,0.00
1,6,4,0.00
1,6,5,0.00
1,6,6,0.00
1,6,7,0.00
1,6,8,0.00
1,6,9,6.03
1,6,10,20.99
1,6,11,30.15
